"ID","Math01","Math02","Math03","Portu01","Portu02","Portu03","Sex","Rel_status","Guardian","Reason"
1,7,,,13,13,13,"F","no","mother","home"
2,8,,5,13,,11,"F","yes","mother","reputation"
3,14,13,13,,13,12,"F","no","mother","reputation"
4,10,9,,10,11,,"F","no","mother","course"
5,10,10,10,13,13,13,"F","yes","other","reputation"
6,,,11,11,,,"F","no","mother","course"
7,12,0,0,10,11,12,"F","yes","father","course"
8,,9,,11,10,,"F","no","mother","reputation"
9,,16,,15,15,15,"F","no","father","reputation"
10,10,11,11,,,10,"F","no","father","reputation"
11,14,,15,15,14,15,"F","no","mother","reputation"
12,8,,,11,,13,"F","yes","mother","course"
13,9,10,,13,12,12,"F","no","father","home"
14,8,11,11,12,12,12,"F","no","father","course"
15,10,,11,,12,,"F","no","mother","course"
16,16,15,15,14,14,14,"F","no","mother","course"
17,10,12,12,,12,13,"F","no","father","reputation"
18,7,8,8,10,10,10,"F","no","mother","course"
19,,7,6,11,11,11,"F","no","father","other"
20,6,7,,,11,,"F","no","father","home"
21,7,6,,11,10,10,"F","no","mother","home"
22,15,14,15,,14,,"F","yes","mother","home"
23,13,14,14,15,15,15,"F","no","mother","reputation"
24,16,17,18,14,,,"F","no","mother","reputation"
25,,0,0,,,,"F","yes","mother","course"
26,,10,11,,12,,"F","no","mother","course"
27,,9,,12,,12,"F","yes","father","reputation"
28,,,7,13,12,12,"F","no","father","other"
29,10,8,9,,,14,"F","no","mother","reputation"
30,9,11,,13,13,13,"F","no","mother","course"
31,,16,,,,,"F","no","mother","course"
32,,,13,,12,13,"F","no","mother","other"
33,,10,11,10,11,11,"F","yes","mother","home"
34,8,8,6,10,11,11,"F","yes","mother","course"
35,,8,10,,13,12,"F","no","mother","other"
36,7,6,6,12,11,,"F","no","mother","reputation"
37,,,13,16,14,16,"F","no","mother","other"
38,10,10,10,13,,12,"F","yes","father","reputation"
39,10,10,,13,,13,"F","no","mother","reputation"
40,,10,10,11,11,11,"F","no","father","reputation"
41,10,,11,17,16,,"F","no","mother","other"
42,,9,10,,13,12,"F","yes","mother","other"
43,,13,14,13,13,13,"F","no","mother","reputation"
44,,7,,11,,,"F","no","mother","course"
45,4,,0,9,9,,"F","yes","other","course"
46,12,,11,,13,14,"F","no","father","course"
47,9,9,10,12,,,"F","no","mother","home"
48,,8,,10,10,16,"F","yes","father","course"
49,8,,,14,13,13,"F","yes","mother","home"
50,8,9,10,,12,,"F","yes","mother","course"
51,13,12,,,,10,"F","yes","mother","home"
52,,13,13,8,10,,"F","no","mother","home"
53,6,7,0,,12,13,"F","no","mother","home"
54,8,7,8,,11,11,"F","yes","mother","home"
55,11,,11,,13,13,"F","yes","mother","reputation"
56,13,13,11,13,,,"F","no","mother","reputation"
57,6,9,8,10,,,"F","no","mother","home"
58,8,10,,11,,12,"F","no","mother","reputation"
59,11,12,13,12,12,,"F","no","mother","course"
60,16,16,17,13,,14,"F","no","mother","other"
61,,7,,10,,,"F","no","mother","course"
62,12,,,14,15,16,"F","no","mother","reputation"
63,6,10,10,11,,13,"F","no","father","home"
64,7,7,8,,,,"F","yes","mother","home"
65,8,10,10,13,,14,"F","no","mother","reputation"
66,11,12,,11,11,,"F","no","mother","home"
67,,5,,,11,,"F","no","mother","course"
68,,15,16,,,18,"F","yes","father","home"
69,15,16,16,16,15,16,"F","no","mother","course"
70,11,,10,,,,"F","no","mother","home"
71,,,16,,14,15,"F","no","mother","home"
72,,,8,12,13,13,"F","no","mother","course"
73,,9,9,,13,13,"F","no","mother","home"
74,,12,13,,,15,"F","yes","mother","other"
75,14,14,14,16,16,17,"F","yes","mother","reputation"
76,,14,14,,17,17,"F","no","mother","home"
77,11,,14,12,13,,"F","no","mother","reputation"
78,13,14,14,13,,14,"F","no","mother","reputation"
79,13,13,14,15,,16,"F","no","mother","home"
80,11,,,,12,13,"F","no","mother","home"
81,14,14,13,10,,11,"F","no","mother","course"
82,8,10,9,13,13,10,"F","no","father","reputation"
83,8,7,6,13,11,,"F","no","mother","course"
84,10,,9,10,11,11,"F","no","father","course"
85,7,,,11,,10,"F","yes","mother","home"
86,12,,13,14,,13,"F","no","mother","course"
87,13,,13,14,12,13,"F","yes","father","course"
88,7,6,6,12,,12,"F","no","father","home"
89,,11,,,,,"F","no","mother","reputation"
90,16,,,16,,16,"F","no","mother","course"
91,14,15,16,15,15,14,"F","yes","mother","other"
92,9,9,10,,10,,"F","no","mother","reputation"
93,9,10,,,14,,"F","no","mother","home"
94,13,11,11,,13,13,"F","no","mother","course"
95,,,,11,10,11,"F","no","mother","reputation"
96,,6,,13,,,"F","no","mother","reputation"
97,,,14,15,15,,"F","yes","father","course"
98,,11,,15,15,17,"F","no","father","course"
99,7,7,7,11,12,,"F","yes","mother","reputation"
100,11,11,11,11,11,,"F","no","mother","course"
101,18,,18,18,19,19,"F","no","mother","reputation"
102,,10,10,12,11,,"F","no","mother","other"
103,12,,12,15,15,16,"F","yes","mother","course"
104,9,8,0,,12,14,"F","yes","father","home"
105,8,7,,,13,14,"F","yes","mother","reputation"
106,13,13,13,15,14,17,"F","yes","mother","course"
107,,5,,10,13,13,"F","no","mother","home"
108,5,,6,9,11,11,"F","no","father","course"
109,6,5,0,12,,12,"F","yes","mother","reputation"
110,8,8,,,,12,"F","no","mother","course"
111,9,9,,14,15,15,"F","no","mother","course"
112,13,,,13,13,14,"F","no","mother","reputation"
113,9,10,,12,12,,"F","no","mother","course"
114,,9,,,12,14,"F","no","mother","course"
115,11,9,9,14,13,13,"F","yes","mother","course"
116,7,7,8,12,13,13,"F","no","father","home"
117,10,10,,15,16,16,"F","yes","mother","reputation"
118,16,17,,17,18,17,"F","no","father","reputation"
119,12,,15,17,,17,"F","no","father","course"
120,17,,,18,18,18,"F","no","father","reputation"
121,16,15,15,17,18,,"F","no","mother","course"
122,7,8,0,12,13,15,"F","yes","mother","home"
123,10,9,9,15,,13,"F","no","mother","home"
124,10,9,,8,9,,"F","yes","mother","home"
125,16,15,15,11,13,14,"F","no","mother","course"
126,15,,14,16,,,"F","no","mother","reputation"
127,13,15,,11,,13,"F","yes","mother","reputation"
128,,,15,17,18,18,"F","no","mother","reputation"
129,6,,4,11,9,,"F","yes","mother","reputation"
130,11,,12,13,,13,"F","yes","mother","course"
